code,icao,name,city_code,country,city,state,county
CKG,ZUCK,Chongqing Jiangbei International Airport,CKG,CN,Shuangfengqiao,Chongqing Shi,
CKH,UESO,Chokurdah Airport,CKH,RU,Chokurdakh,Sakha,
CKI,YCKI,Croker Island,CKI,AU,,,
CKK,KCVK,Cherokee,CKK,US,Salem,Arkansas,Fulton County
CKL,UUMU,Chkalovsky,CKL,RU,Bakhchivandzhi,Moskovskaya,
CKM,KCKM,Fletcher Field,CKM,US,Clarksdale,Mississippi,Coahoma County
CKN,KCKN,Municipal,CKN,US,Crookston,Minnesota,Polk County
CKO,SSCP,Cornelio Procopio,CKO,BR,Bandeirantes,Parana,Bandeirantes
CKR,,Crane Island,CKR,US,,,
CKS,SBCJ,Carajas Airport,CKS,BR,,,
CKT,OIMC,Sarakhs,CKT,IR,Sarakhs,Razavi Khorasan,
CKU,CKU,City,CDV,US,,,
CKV,KCKV,Outlaw Field,CKV,US,Oak Grove,Kentucky,Christian County
CKW,YCHK,Christmas Creek Mine,CKW,AU,Wilkie,Saskatchewan,
CKX,CKX,Chicken,CKX,US,,,
CKY,GUCY,Conakry Airport,CKY,GN,Conakry,Conakry,
CKZ,LTBH,Canakkale Airport,CKZ,TR,Canakkale,Canakkale,
CLA,VGCM,Comilla,CLA,BD,Comilla,Chittagong,
CLC,,Metroport,CLC,US,,,
CLD,KCRQ,McClellan-Palomar Airport,SAN,US,Lake San Marcos,California,San Diego County
CLE,KCLE,Cleveland Hopkins International Airport,CLE,US,Brook Park,Ohio,Cuyahoga County
CLG,,Coalinga,CLG,US,Coalinga,California,Fresno County
CLH,YCAH,Coolah,CLH,AU,Dunedoo,New South Wales,Warrumbungle Shire
CLI,KCLI,Clintonville,CLI,US,Clinton,Wisconsin,Rock County
CLJ,LRCL,Avram Iancu Cluj International Airport,CLJ,RO,Sannicoara,Cluj,Comuna Apahida
CLK,KCLK,Municipal,CSM,US,Clinton,Oklahoma,Custer County
CLL,KCLL,Easterwood Airport,CLL,US,College Station,Texas,Brazos County
CLM,KCLM,Fairchild International,CLM,US,Port Angeles,Washington,Clallam County
